,topic1,topic2
0,0.51312643,0.48687363
1,0.89326257,0.10673749
2,0.51312643,0.48687363
3,0.15734813,0.84265184
4,0.52181876,0.47818124
5,0.7770894,0.22291055
6,0.77709013,0.22290985
7,0.1531192,0.84688073
8,0.51312643,0.48687363
9,0.7764585,0.22354148
10,0.5187483,0.48125175
11,0.51312643,0.48687363
12,0.7757495,0.22425047
13,0.51312643,0.48687363
14,0.063327126,0.93667287
15,0.51312643,0.48687363
16,0.11247037,0.8875297
17,0.8554046,0.14459541
18,0.11687961,0.8831204
19,0.51312643,0.48687363
20,0.51312643,0.48687363
21,0.51312643,0.48687363
22,0.46105576,0.5389443
23,0.8550034,0.14499655
24,0.77487135,0.22512862
25,0.7757577,0.22424228
26,0.15252909,0.8474709
27,0.45914674,0.54085326
28,0.51312643,0.48687363
29,0.51312643,0.48687363
30,0.94017714,0.059822865
31,0.51312643,0.48687363
32,0.51312643,0.48687363
33,0.23535523,0.7646448
34,0.85450685,0.14549312
35,0.85450375,0.1454963
36,0.7763127,0.22368734
37,0.51312643,0.48687363
38,0.51312643,0.48687363
39,0.85541046,0.14458957
40,0.06592404,0.93407595
41,0.51312643,0.48687363
42,0.112871826,0.88712823
43,0.23565029,0.7643497
44,0.51312643,0.48687363
45,0.85485655,0.14514343
46,0.16483332,0.8351667
47,0.51312643,0.48687363
48,0.51312643,0.48687363
49,0.8524273,0.14757273
50,0.49952218,0.5004778
51,0.85485625,0.14514373
52,0.51312643,0.48687363
53,0.15289621,0.8471038
54,0.51312643,0.48687363
55,0.50506604,0.49493393
56,0.6098901,0.3901099
57,0.51312643,0.48687363
58,0.51312643,0.48687363
59,0.7770706,0.22292939
60,0.23614843,0.7638516
61,0.51312643,0.48687363
62,0.23563741,0.7643626
63,0.15319835,0.8468017
64,0.51312643,0.48687363
65,0.09273478,0.90726525
66,0.24269569,0.7573043
67,0.15263513,0.84736484
68,0.112938076,0.8870619
69,0.2348568,0.7651432
70,0.23535655,0.76464343
71,0.8934629,0.10653709
72,0.8933574,0.1066426
73,0.51312643,0.48687363
74,0.23574813,0.7642518
75,0.51312643,0.48687363
76,0.48541236,0.51458764
77,0.92978626,0.07021376
78,0.51312643,0.48687363
79,0.892976,0.10702403
80,0.8558862,0.1441138
81,0.89332956,0.10667045
82,0.7750631,0.22493692
83,0.8931613,0.10683869
84,0.77779704,0.22220297
85,0.51312643,0.48687363
86,0.51312643,0.48687363
87,0.7775304,0.22246964
88,0.51312643,0.48687363
89,0.8541952,0.14580487
90,0.51312643,0.48687363
91,0.7775304,0.2224696
92,0.8551492,0.1448508
93,0.11971979,0.88028026
94,0.92705953,0.072940476
95,0.9290033,0.07099668
96,0.76886535,0.23113468
97,0.51312643,0.48687363
98,0.8549695,0.14503056
99,0.51312643,0.48687363
100,0.9297418,0.07025817
101,0.77637154,0.22362845
102,0.9149841,0.085015915
103,0.5082679,0.4917321
104,0.92963046,0.070369534
105,0.11269519,0.88730484
106,0.8559119,0.14408807
107,0.23491843,0.7650816
108,0.77750945,0.22249055
109,0.4990698,0.50093025
110,0.74739337,0.25260657
111,0.77720374,0.22279629
112,0.52315605,0.47684398
113,0.12916924,0.8708308
114,0.51312643,0.48687363
115,0.7763767,0.2236233
116,0.67711693,0.322883
117,0.51312643,0.48687363
118,0.51312643,0.48687363
119,0.52311605,0.47688395
120,0.76885897,0.231141
121,0.77765644,0.22234361
122,0.77720493,0.22279504
123,0.51312643,0.48687363
124,0.51312643,0.48687363
125,0.2356641,0.76433593
126,0.38701266,0.61298734
127,0.28199553,0.71800447
128,0.48303315,0.5169668
129,0.44079003,0.55920994
130,0.51312643,0.48687363
131,0.77633435,0.22366564
132,0.51312643,0.48687363
133,0.8438925,0.15610749
134,0.7757755,0.22422455
135,0.7769891,0.22301091
136,0.92986035,0.070139594
137,0.85489506,0.14510496
138,0.77585554,0.22414444
139,0.23466206,0.76533794
140,0.8554294,0.14457059
141,0.924096,0.075904064
142,0.91493016,0.08506986
143,0.92188436,0.07811565
144,0.121595554,0.87840444
145,0.51312643,0.48687363
146,0.44610757,0.55389243
147,0.23769906,0.76230097
148,0.8549491,0.1450509
149,0.51312643,0.48687363
150,0.15238333,0.8476167
151,0.7763391,0.22366089
152,0.51312643,0.48687363
153,0.51312643,0.48687363
154,0.23523186,0.7647681
155,0.8489537,0.15104634
156,0.51312643,0.48687363
157,0.23668166,0.76331836
158,0.29313654,0.70686346
159,0.7769205,0.2230795
160,0.51312643,0.48687363
161,0.094998255,0.90500176
162,0.5210396,0.4789604
163,0.51312643,0.48687363
164,0.15227127,0.84772867
165,0.17654467,0.82345533
166,0.87472546,0.12527452
167,0.51312643,0.48687363
168,0.23485717,0.76514286
169,0.24269406,0.757306
170,0.77720875,0.22279121
171,0.8886997,0.11130025
172,0.7717874,0.22821261
173,0.17544992,0.8245501
174,0.48961446,0.5103856
175,0.15286735,0.8471326
176,0.23428449,0.7657155
177,0.9147774,0.08522258
178,0.10548715,0.89451283
179,0.09014443,0.9098556
180,0.2752491,0.7247509
181,0.15227152,0.84772843
182,0.8337668,0.16623323
183,0.8831446,0.11685535
184,0.1518013,0.84819865
185,0.51312643,0.48687363
186,0.06311128,0.9368887
187,0.7769221,0.22307791
188,0.51312643,0.48687363
189,0.24269861,0.7573014
190,0.9473943,0.052605677
191,0.51312643,0.48687363
192,0.09473795,0.90526205
193,0.51312643,0.48687363
194,0.48226148,0.5177385
195,0.23673832,0.7632617
196,0.89316046,0.10683951
197,0.7766409,0.22335911
198,0.15228604,0.84771395
199,0.27996346,0.7200365
200,0.13770953,0.86229044
201,0.4839139,0.5160861
202,0.51312643,0.48687363
203,0.29645887,0.70354116
204,0.2356466,0.76435333
205,0.15216763,0.8478324
206,0.15319139,0.84680855
207,0.51312643,0.48687363
208,0.51312643,0.48687363
209,0.2350654,0.7649346
210,0.11284565,0.88715434
211,0.7221447,0.27785525
212,0.51312643,0.48687363
213,0.8931906,0.10680938
214,0.8902433,0.109756745
215,0.7120977,0.28790233
216,0.51312643,0.48687363
217,0.28656217,0.7134378
218,0.27515438,0.72484565
219,0.23583557,0.76416445
220,0.7023439,0.29765606
221,0.8928703,0.10712966
222,0.66205275,0.33794725
223,0.51312643,0.48687363
224,0.06899223,0.93100774
225,0.27132845,0.72867155
226,0.51312643,0.48687363
227,0.85556203,0.14443798
228,0.8932056,0.10679445
229,0.23785862,0.76214135
230,0.8557993,0.14420064
231,0.9459505,0.05404949
232,0.51312643,0.48687363
233,0.8558385,0.14416155
234,0.51312643,0.48687363
235,0.24269314,0.7573069
236,0.853535,0.146465
237,0.8549025,0.1450975
238,0.51312643,0.48687363
239,0.36239773,0.63760227
240,0.51312643,0.48687363
241,0.23438002,0.76562
242,0.51312643,0.48687363
243,0.51312643,0.48687363
244,0.51312643,0.48687363
245,0.47858983,0.5214102
246,0.51312643,0.48687363
247,0.12316155,0.87683845
248,0.08956224,0.91043776
249,0.7776564,0.22234362
250,0.08946622,0.9105338
251,0.12065919,0.8793408
252,0.51312643,0.48687363
253,0.9030082,0.09699174
254,0.91496843,0.08503159
255,0.40874112,0.5912588
256,0.5054241,0.4945759
257,0.51312643,0.48687363
258,0.37327808,0.6267219
259,0.51312643,0.48687363
260,0.23438005,0.76561993
261,0.51312643,0.48687363
262,0.8929077,0.10709228
263,0.51312643,0.48687363
264,0.49935755,0.5006424
265,0.11752094,0.8824791
266,0.50462276,0.49537724
267,0.119722925,0.88027704
268,0.07569582,0.9243042
269,0.09486327,0.9051367
270,0.096448734,0.9035513
271,0.89306414,0.10693589
272,0.23525673,0.76474327
273,0.51312643,0.48687363
274,0.51312643,0.48687363
275,0.77575594,0.22424409
276,0.51312643,0.48687363
277,0.51312643,0.48687363
278,0.7772047,0.22279534
279,0.9262565,0.07374353
280,0.51312643,0.48687363
281,0.9536077,0.04639227
282,0.77779704,0.222203
283,0.51312643,0.48687363
284,0.77633524,0.22366482
285,0.51312643,0.48687363
286,0.85546875,0.14453125
287,0.57293934,0.4270607
288,0.10734583,0.8926541
289,0.8549864,0.14501354
290,0.41655156,0.58344847
291,0.51312643,0.48687363
292,0.8555174,0.1444826
293,0.6700769,0.32992306
294,0.89343727,0.10656273
295,0.63546705,0.36453298
296,0.51312643,0.48687363
297,0.77638066,0.22361936
298,0.2489033,0.7510967
299,0.43715486,0.5628452
300,0.7776564,0.22234362
301,0.4859158,0.5140842
302,0.5073961,0.4926039
303,0.51312643,0.48687363
304,0.5252417,0.47475833
305,0.8548,0.14519998
306,0.112452075,0.8875479
307,0.5073377,0.49266234
308,0.85492283,0.14507714
309,0.4985333,0.5014667
310,0.8951799,0.10482004
311,0.51312643,0.48687363
312,0.77578026,0.22421972
313,0.7144827,0.2855173
314,0.5047935,0.49520642
315,0.71453995,0.28546003
316,0.51312643,0.48687363
317,0.8933818,0.106618255
318,0.88776076,0.112239234
319,0.9152252,0.08477476
320,0.51312643,0.48687363
321,0.8549732,0.14502677
322,0.90841484,0.091585174
323,0.85526544,0.14473456
324,0.8847382,0.11526177
325,0.51312643,0.48687363
326,0.51312643,0.48687363
327,0.46561387,0.53438616
328,0.8925792,0.10742077
329,0.91479236,0.08520762
330,0.51312643,0.48687363
331,0.7763237,0.22367632
332,0.121554494,0.8784455
333,0.4165893,0.58341074
334,0.9103484,0.089651614
335,0.89327514,0.10672483
336,0.51312643,0.48687363
337,0.8801279,0.11987208
338,0.23565024,0.7643497
339,0.8917533,0.10824666
340,0.3461044,0.6538956
341,0.2356379,0.76436216
342,0.86814857,0.13185142
343,0.49495968,0.5050403
344,0.4407943,0.55920565
345,0.85357887,0.14642112
346,0.51312643,0.48687363
347,0.7753464,0.22465363
348,0.927079,0.07292095
349,0.852116,0.14788398
350,0.4924276,0.5075724
351,0.7771772,0.22282283
352,0.51312643,0.48687363
353,0.52315307,0.47684693
354,0.51312643,0.48687363
355,0.8468892,0.15311085
356,0.8558922,0.14410783
357,0.51312643,0.48687363
358,0.12350657,0.8764934
359,0.35878623,0.6412138
360,0.15207608,0.84792393
361,0.51312643,0.48687363
362,0.91228807,0.087711915
363,0.51312643,0.48687363
364,0.51312643,0.48687363
365,0.8549049,0.14509507
366,0.7766561,0.2233439
367,0.50831234,0.49168763
368,0.23682742,0.76317257
369,0.51312643,0.48687363
370,0.35444537,0.64555466
371,0.7830226,0.21697745
372,0.51312643,0.48687363
373,0.7757757,0.22422433
374,0.49165973,0.5083403
375,0.51312643,0.48687363
376,0.77726024,0.22273974
377,0.8558615,0.14413853
378,0.51312643,0.48687363
379,0.8688143,0.13118574
380,0.85252726,0.14747277
381,0.7757282,0.22427179
382,0.51312643,0.48687363
383,0.51312643,0.48687363
384,0.51312643,0.48687363
385,0.89591795,0.10408211
386,0.08938365,0.9106164
387,0.18155186,0.8184481
388,0.13370007,0.8663
389,0.2426922,0.75730777
390,0.51312643,0.48687363
391,0.9143312,0.08566881
392,0.48957345,0.5104266
393,0.4073242,0.59267575
394,0.8916949,0.10830512
395,0.51312643,0.48687363
396,0.92744756,0.07255243
397,0.9151816,0.08481839
398,0.11269516,0.88730484
399,0.85591197,0.14408803
400,0.7775096,0.22249037
401,0.11265907,0.8873409
402,0.77725124,0.22274873
403,0.50953263,0.49046743
404,0.51312643,0.48687363
405,0.77725136,0.22274862
406,0.8556109,0.14438906
407,0.23466204,0.76533794
408,0.9400906,0.059909426
409,0.8553688,0.14463118
410,0.51312643,0.48687363
411,0.51312643,0.48687363
412,0.15425664,0.84574336
413,0.6351663,0.36483365
414,0.056309752,0.94369024
415,0.77634096,0.22365908
416,0.23582645,0.76417357
417,0.89338434,0.10661566
418,0.23536415,0.76463586
419,0.8816834,0.11831658
420,0.85564667,0.14435333
421,0.8554255,0.14457454
422,0.51312643,0.48687363
423,0.4920583,0.50794166
424,0.23673871,0.76326126
425,0.07382245,0.92617756
426,0.51312643,0.48687363
427,0.112275645,0.88772434
428,0.11276835,0.88723165
429,0.51312643,0.48687363
430,0.7758857,0.2241143
431,0.77574337,0.22425662
432,0.2367152,0.7632848
433,0.23671566,0.7632843
434,0.51312643,0.48687363
435,0.89287955,0.10712043
436,0.51312643,0.48687363
437,0.77696115,0.22303888
438,0.49603638,0.5039636
439,0.7195703,0.2804297
440,0.51312643,0.48687363
441,0.7163404,0.28365952
442,0.51312643,0.48687363
443,0.23456341,0.7654366
444,0.48922035,0.5107797
445,0.51312643,0.48687363
446,0.7769616,0.22303836
447,0.51312643,0.48687363
448,0.15241516,0.84758484
449,0.2356411,0.7643589
450,0.23456374,0.76543623
451,0.1532123,0.8467877
452,0.23882979,0.76117015
453,0.78866094,0.21133907
454,0.7769612,0.2230388
455,0.7769612,0.22303875
456,0.15241504,0.847585
457,0.23645543,0.7635446
458,0.15234606,0.8476539
459,0.51312643,0.48687363
460,0.51312643,0.48687363
461,0.23543327,0.7645667
462,0.2344007,0.76559937
463,0.7724882,0.22751187
464,0.108932644,0.8910674
465,0.77695924,0.22304076
466,0.7757096,0.22429034
467,0.85428584,0.14571421
468,0.83654344,0.1634565
469,0.9389585,0.061041515
470,0.7583831,0.2416169
471,0.23456348,0.7654365
472,0.51312643,0.48687363
473,0.23882973,0.76117027
474,0.07395624,0.92604375
475,0.7769613,0.22303867
476,0.23662043,0.7633796
477,0.29709968,0.7029003
478,0.28389007,0.71611
479,0.113869004,0.88613105
480,0.155086,0.844914
481,0.71373236,0.28626767
